tr_loss_list,val_loss_list,mad_val,fad_val,mad_test,fad_test
0.23096728960185178,0.12883321468423053,0.7590468865323351,1.3888181052547965,0.9034096248124684,1.6405174193306113
0.10966449523610729,0.08450980811584287,0.5607614908007231,1.0045763583858152,0.537009981292944,0.9321382253562023
0.08619652871441628,0.10843343451255705,0.6805349270199594,1.214889675797751,0.7490329309061006,1.322117075211794
0.07770686659828893,0.0898600631370777,0.6112921983964414,1.061278552018152,0.6346885558482488,1.1037651217765536
0.07111917181672263,0.07580141214335837,0.5211153926334553,0.8715696250382067,0.5605271805320109,0.9711158010248468
0.06614214148638504,0.06088851346838765,0.4613841903216735,0.7706364660432568,0.44286215759911085,0.7338992065010064
0.0639656556803467,0.06449157653785334,0.4677818908704302,0.7724729855928874,0.4745796373126334,0.7994959193688196
0.06172542247389044,0.05561720707067629,0.42914780301973987,0.702508829495069,0.42132932015930985,0.6799983755781842
0.06111014015706522,0.05646031204520202,0.4272379350415401,0.7018459270615561,0.43428300546804394,0.7259620981372368
0.05845932848751545,0.05927291494317171,0.46317434274811864,0.7634918830604694,0.4470645094571828,0.7489780778692267
0.058216999866999686,0.055650147450406376,0.4357440566935787,0.7031552877511943,0.4350236445380911,0.7199889951063785
0.056951126333193054,0.059977361069219866,0.44229797052642505,0.7349647605737073,0.4481281076536143,0.7556485180570689
0.055732749202953916,0.05741825045608893,0.43975039013038597,0.7201314000007704,0.4054537483447997,0.6516907521428564
0.055062471074052155,0.051862821437236736,0.41698282950138377,0.6767010763983251,0.40477292755140687,0.6654711565922262
0.05430867592804134,0.05100766242277331,0.4184356160427867,0.6812154732931643,0.386803699574789,0.6287605154607919
0.05347065604291856,0.05505812486133924,0.4393815661526825,0.7166076516090313,0.40694586201432487,0.6561329688630596
0.052612751040474644,0.05852084579627689,0.4581885486332987,0.7565383032710941,0.4515403071359739,0.7549799447515521
0.05209765578287521,0.05895720067911032,0.451166252048648,0.7427174340078232,0.4524476581586168,0.7688777778696518
0.051706177149234075,0.05595208077532489,0.4403657260956615,0.7187666828835018,0.44315306878796074,0.7204603271221691
0.050887312523887625,0.055795453761408965,0.45369318835572403,0.7346888332035576,0.40784151744032554,0.6669140120771364
0.050615120911970735,0.05160483290872923,0.4248149539555713,0.6856668592656745,0.39715096560054225,0.6559631267850285
0.049794397466549914,0.05329764679801173,0.4314969396311985,0.7055005756077729,0.40678460909060904,0.6792723742927976
0.04932407806960067,0.054058158452191,0.4382763267206456,0.714981136701636,0.42132843302274875,0.7060756632087338
0.0489786572621337,0.051192779639145224,0.43108875265996405,0.7091686561278173,0.4002866954167747,0.6536914242422824
0.04853225838659065,0.05341755925882154,0.44260611506556735,0.7223192507970251,0.4357679561365836,0.7325211144307413
0.04806450925700899,0.0533590473052932,0.43553976262990485,0.7142416065896808,0.44003990334375614,0.7338371179347261
0.047669382699366124,0.05477764984456504,0.4401348214716275,0.7281224622316967,0.414704180131645,0.6958195740319093
0.04715852366228189,0.05714152689750602,0.449599028529065,0.7435191464779272,0.44545391642223314,0.7609186855592276
0.04699673195968249,0.05379167762471408,0.4490324685846404,0.7377905963957245,0.42664171846010557,0.7109026070407486
0.04643830946380539,0.052926401812128904,0.44420455605597575,0.7348412512140015,0.43161637794318714,0.7245896819762329
0.04623959760647267,0.05335763532940934,0.4547353081350381,0.7351917771999003,0.4299272637500338,0.7043641952474416
0.045972566635880084,0.05627322651264144,0.46376938088186337,0.7628718565642716,0.45701323596575,0.7710419019043022
0.04565379221457988,0.0557365683702434,0.44890573021001545,0.7430460483461996,0.43537018365307056,0.7311480513031489
0.04516978442136731,0.05536083268319688,0.45149535374521527,0.7464080888157808,0.4216601880686494,0.7103356044790479
0.04480284881511969,0.056036529199379244,0.4486316933670567,0.7448907682985548,0.4495252746623243,0.7613595183369513
0.04459219121573759,0.052460396253481145,0.44481975047867767,0.7385091119850798,0.41518799715127225,0.6896679330236122
0.04444207465608737,0.05371688533483482,0.45221584855366687,0.7524197854676639,0.45501741245166766,0.76742656559783
0.043968861124345233,0.05524075948973981,0.4531989071535068,0.7628589848794002,0.4658187435062112,0.7887130852789478
0.043752693704196384,0.053199381635683336,0.44207852197493314,0.744317727164961,0.41441634133095306,0.7010143439096505
0.0434392235474661,0.05411113862220834,0.45810063012569463,0.7640742071719132,0.4505982966415785,0.7473798972935572
0.04314878897275776,0.05257078169322595,0.45175484311185893,0.7502888197756908,0.42496468095069795,0.7120375152317971
0.042840534521799,0.053982724594633755,0.4550583387432724,0.7667801134374163,0.4537583809900847,0.7707697272728433
0.04277664642514927,0.05296815977227397,0.4482401746763178,0.7512055009634581,0.43966173289773125,0.739923037307737
0.0423950281193746,0.05253828089775109,0.4398377217764762,0.735775762773312,0.441802337361097,0.7449377391720389
0.04210671895582761,0.0535304795314626,0.4489842998617895,0.7604274983835543,0.445057194062632,0.7553588753294971
0.041562449685963135,0.05438874825471785,0.4551854310928378,0.7763182473154976,0.4511616981427777,0.784323107299406
0.040788245620206,0.051242917321804096,0.4355277577571346,0.745644963869572,0.40185069128951495,0.6940870810701735
0.03974674900694351,0.05247460769080534,0.44024013424567615,0.7607356609707809,0.4319436319375777,0.7529133562736232
0.038967803602905145,0.05122237761573094,0.44184087188787075,0.7563083412423123,0.42779102873685815,0.7417956971150708
0.03777730461609151,0.0503300724596512,0.43183682225306685,0.7434419596300157,0.4206163373653658,0.7357641871465553
